Strumenti,Link principale,Paper,Link secondari,Tag
SARA (Spousal Assault Risk Assessment),,HiltonPhamJungEnnisNunes2020PPRAdvancedonlinepub.pdf,,
SARA - S,10_SARA-formulario_versione 15 item.pdf,HiltonPhamJungEnnisNunes2020PPRAdvancedonlinepub.pdf,,
SARA v3,"Spousal Assault Risk Assessment Guide, Version 3 (SARA-V3)",,,
B - SAFER,,HiltonPhamJungEnnisNunes2020PPRAdvancedonlinepub.pdf,,
ODARA,,HiltonPhamJungEnnisNunes2020PPRAdvancedonlinepub.pdf,,
ISA (Increasing Self Awareness),Manuale ISA 2023 - Differenzadonna.org ,Non verificato,,
SEA-12 (The Scale of Economic Abuse-12) ,Scale of Economic Abuse-12 (SEA-12) – EMERGE,"Measuring Economic Abuse in the Lives of Survivors - Judy L. Postmus, Sara-Beth Plummer, Amanda M. Stylianou, 2016 ",Scale of Economic Abuse-12 (SEA-12) – EMERGE,
MARVOW 2.0 (Coordinated Multi-Agency Response to Violence against Older Women),MARVOW2_Riskassess_ITAshort_REV2.pdf,,approfondimenti,
,,,,
,,,,
,,, ,
